-14,-29,-41,-10.7,-21.4,-32.1,-3
-1,-1,-1,0,0,0,0
12,25,-38,10.7,21.4,32.1,3
-43,-82,-124,-37.4,-74.8,-112,-3
-21,-41,-59,-18.7,-37.4,-56.1,-1.5
1,1,3,0,0,0,0
19,37,57,18.7,37.4,56.1,1.5
41,98,134,37.4,74.8,112,3
